column_names,mean,std
dissimilarity,18.45316696525122,7.773859818910572
correlation,0.693126376929657,0.16406090923095987
homogeneity,0.09289565001668512,0.055227488560978505
contrast,787.112580863396,590.2711905038532
ASM,0.0007675792890340868,0.004034038279995169
energy,0.020175013625803952,0.018988926594797322
mean_r,4.677269301490927,0.26521656501143726
std_r,2.324837997596385,0.49442250290703865
skewness_r,0.23655538742493043,0.2824302407277923
kurtosis_r,-0.26337302309283306,0.7553727645582908
Bin_0,0.11838444626396606,0.11720103262767798
Bin_1,0.15786188859659708,0.07428589290863735
Bin_2,0.14455098368371672,0.05233758231742911
Bin_3,0.34855072730935577,0.0912710019044401
Bin_4,0.5830037289008967,0.1979894492410479
Bin_5,0.4215463537261072,0.11809386377797738
Bin_6,0.20502610510131386,0.04261738020641208
Bin_7,0.1589580788843425,0.06620348811558391
Bin_8,0.18730631881237525,0.11610548679553273
Bin_9,0.26107532988337884,0.16553463096103604
class,0.4815584415584416,0.49968142488031025
