filepath,dissimilarity,correlation,homogeneity,contrast,ASM,energy,mean_r,mean_g,mean_b,std_r,std_g,std_b,skewness_r,skewness_g,skewness_b,kurtosis_r,kurtosis_g,kurtosis_b,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,class
/Users/sinner/Desktop/not_waste_images_all/3290.jpg,13.674160919540228,0.4067862423315773,0.1381405806009261,563.0469425287355,0.0011866117056414317,0.03444723073980595,4.948888888888889,4.918488888888889,4.907688888888889,2.532975608271577,2.499284418675093,2.507652907244118,0.0063340128648274405,0.02755788611931161,0.03402820545492098,-0.8217443024063469,-0.7724826080972478,-0.7958025938651501,0.12502262448354273,0.18268612067391143,0.13191162624079916,0.35861081369718223,0.5777831288632296,0.4059408072516663,0.2518312864597075,0.21368662858156537,0.27109497655870235,0.35184938604654165,0.12267872445057913,0.17175021423081077,0.13279655739495677,0.35893012370179744,0.5946756313057969,0.41280758413060853,0.251807567403199,0.20551848168267117,0.26217834617118607,0.33249728513461085,0.11969081405440948,0.18265250688855691,0.13775255220077098,0.36886648327076255,0.5809011134819215,0.413130461263254,0.25604421752553275,0.20160461240833058,0.2674917980408323,0.33376056969051066,0
/Users/sinner/Desktop/not_waste_images_all/5839.jpg,18.38864367816092,0.8507161198715067,0.10747108811510238,921.380275862069,0.0002573941075439292,0.016043506709691905,4.555733333333333,4.576488888888889,4.6035111111111116,1.9291346407708878,1.935853100742492,2.0273674514527147,0.47718743928413726,0.47600775546923896,0.40070874501690834,0.38193058174932304,0.34354007568123457,0.10948702561072698,0.03617120578229596,0.08949789773562374,0.09363174982502898,0.36140201891625423,0.7451268391152968,0.4710524455877286,0.18436980318747428,0.09766225561219911,0.11058054339159051,0.13579704113696256,0.035328269135470505,0.08790504614296485,0.09434725992649182,0.36450461213891333,0.7371139448441993,0.4776589800463468,0.18817498648334438,0.09954259362288455,0.11325827458136133,0.14006619645474777,0.046045973812340296,0.10084716799744951,0.11035901235305033,0.3757178520462321,0.709713295896306,0.48369890331038223,0.2034237622413719,0.1118722603187141,0.1268966508349472,0.16343078029168667,0
/Users/sinner/Desktop/not_waste_images_all/113.jpg,23.36501149425286,0.4611422145020438,0.043596064237037345,936.3593103448275,0.0001388220372572334,0.011782276403871767,5.159822222222222,5.1591555555555555,5.161511111111111,3.407072900037926,3.4072149849371476,3.405675450200557,-0.3309611212534236,-0.3316544417211701,-0.3325663892751923,-1.4873328650988726,-1.4865160040325887,-1.4852127262246746,0.40033580152870335,0.29924705334834933,0.15004980452794725,0.13421662710210866,0.12508210166412487,0.14773572475032468,0.15479975775569882,0.29254840136049454,0.40496396108394855,0.6313783982734403,0.40205962254525546,0.2977993871927142,0.14883879392617455,0.1350754684649162,0.1252097218953416,0.14713360316106291,0.15492876094443048,0.29438900566249093,0.40437381001219275,0.6306769844105825,0.4006702443750556,0.29834035526740993,0.14874380309575644,0.1352216391779604,0.12547593545342273,0.14716012624051908,0.1549566892201492,0.29578210803971877,0.40347213419586025,0.631156137460372,0
/Users/sinner/Desktop/not_waste_images_all/1487.jpg,22.423080459770112,0.5701218817865716,0.05093148814226633,871.3091494252873,0.00023894200026423562,0.015457748874407153,5.450622222222222,5.331244444444445,5.347155555555555,3.505133640114415,3.4849915361322727,3.4948429814072273,-0.5169057423400122,-0.4472297421446413,-0.4557057945638676,-1.448695974824846,-1.4680429575159726,-1.4721102889745172,0.3762820770700781,0.26468305737056885,0.10533305344338965,0.07929688331020307,0.06557657788732053,0.08080935792374919,0.08405037495277656,0.17825593659650554,0.6507962194286966,0.5456792337872421,0.4067697535576314,0.2848424484295443,0.11294682373055093,0.09245290464386584,0.07621895750216585,0.10074257978005306,0.12261811138943601,0.30061585806367835,0.46583368890296534,0.6274823540586162,0.4043024091088983,0.2833543155364906,0.11341025204664859,0.09022567886893494,0.07275159169558425,0.09410880935190176,0.11535181728813201,0.2819837988954435,0.49578439489879317,0.6184456342725098,0
/Users/sinner/Desktop/not_waste_images_all/1493.jpg,9.67135632183908,0.8690415593460902,0.1213429562934955,178.82271264367816,0.0005077732857709077,0.02253382536922898,4.587955555555555,4.5902666666666665,4.5888,2.1552925654001447,2.159893705203517,2.161250436411498,0.2940325144646501,0.2959424434231198,0.3009689727236838,-0.16342271119842833,-0.1749497123347643,-0.17155545263689076,0.06477843633658885,0.14157407376035408,0.14111627562369974,0.37516557298823017,0.677655691782584,0.47633896118883884,0.23462154503534832,0.13859838587210088,0.13241811102726733,0.19284746506563996,0.06603855618211944,0.13861217781976112,0.14251028703884455,0.38132680184327994,0.6767805505955747,0.4715565652379466,0.23480375531420247,0.13815357673516307,0.1358605713121728,0.19398825878497586,0.06494585882193657,0.14111692781062762,0.14168964261505387,0.3805117160607994,0.6744289536923502,0.47764414689149115,0.22965863657492563,0.13779518194495538,0.13298437758777487,0.1964411779182032,0
/Users/sinner/Desktop/not_waste_images_all/107.jpg,24.197609195402297,0.07431222388775707,0.040612518039508785,919.6150804597701,0.00018766442066323158,0.013699066415753724,5.249911111111111,5.251377777777778,5.251688888888889,3.5237968778780666,3.5237997628121636,3.5236829585107063,-0.39304574347146926,-0.3939070034483285,-0.393545024309984,-1.5236345454806104,-1.522906658792598,-1.5231725599617054,0.420836726082957,0.2992361550265173,0.1165482338265215,0.08944933413877858,0.07922983383280773,0.09932435690634593,0.12424156551753328,0.28373466579835926,0.42106637777522604,0.6499142891212923,0.42109916701946604,0.2980298357640495,0.11709955026168357,0.08931710794469588,0.07875518772501462,0.09976422468372845,0.12364334865866,0.2843682215668531,0.4207547565775199,0.6502469143942898,0.4207817157467288,0.2974748773532808,0.11814035075126438,0.08966726330100823,0.07898985550716218,0.09908175189343163,0.12376608173941983,0.28381238781061763,0.4207817157467288,0.6507478212421443,0
/Users/sinner/Desktop/not_waste_images_all/3284.jpg,24.958896551724138,0.5882142497014866,0.05408835031780257,1233.1734252873562,0.00011643070418813582,0.010790306028474625,4.538088888888889,4.5379555555555555,4.538888888888889,2.348657846726009,2.3497194721976262,2.3497987830849802,0.2312980207473295,0.2296695691421607,0.2301647455322732,-0.4863967010566892,-0.4874067792240835,-0.4876619635008197,0.10780078002797237,0.18663468378992498,0.18749024553617874,0.3944139650229783,0.639715739984589,0.4321809049647509,0.23124611770172762,0.18015685913971802,0.14678995103582182,0.24359065146910314,0.10907678290476533,0.1850147674158183,0.1889278358608323,0.3938747956684407,0.6396644073708827,0.4322717797851406,0.23099332164473285,0.18073484880408425,0.14735148363255854,0.24346622731321496,0.10818007949080133,0.18665647613836572,0.1877566125399671,0.3929931701276004,0.6393014867083514,0.4343094038766296,0.229195083666952,0.18115579413035887,0.14680709092480498,0.24398580639959264,0
/Users/sinner/Desktop/not_waste_images_all/5193.jpg,11.476505747126438,0.5845429101683992,0.14141329125229707,307.6964597701149,0.0007975478927203063,0.028240890437808547,4.795466666666667,4.794666666666667,4.802622222222222,2.4330934822429926,2.431509453451132,2.4468432750872102,0.09356578296140809,0.0924661782941302,0.08608153309713878,-0.6785030735230722,-0.6760848352043354,-0.6986232623289745,0.10252625840356601,0.19970872394488554,0.14589797256458967,0.3262199131022555,0.6320588487764082,0.4359540781572237,0.24581447166333764,0.2000815467027167,0.21586437678423537,0.29204449363440016,0.10249816258395754,0.200150957482128,0.14461558939118374,0.3263789977067351,0.6312644413201071,0.4386921358593383,0.24301382547178296,0.2032569624089146,0.21468706053948924,0.29084630134429645,0.10464732756959066,0.20355029109598188,0.1471056704975869,0.32742875046237085,0.6220147238951446,0.44069262409676074,0.24326132948157833,0.20380004605438184,0.2187853435583805,0.2984571752879734,0
/Users/sinner/Desktop/not_waste_images_all/2824.jpg,9.070574712643678,0.5721322748967284,0.178731166228853,155.6399540229885,0.004537760866693089,0.06736290423291656,5.1156,5.0674222222222225,5.0418666666666665,2.829073852380355,2.7794061754977557,2.7855066293624615,-0.19723057023390894,-0.16239814271343558,-0.15164769544177398,-1.1807624017961287,-1.1372552341511388,-1.1348854695620991,0.17946548937170673,0.24963851218221675,0.20877146441517644,0.3273396753708658,0.3311037455599353,0.3355399711399101,0.2466810284622336,0.2396906123968188,0.49430307447173455,0.41216568570311074,0.1736896907003412,0.23978639011860334,0.21194197277675877,0.33791768618743423,0.3629235949653044,0.35724657783735553,0.26100762081117423,0.24167872916125302,0.45740538002331105,0.3976615331053727,0.17986974774940692,0.24538791378482439,0.2102549841716295,0.34034177760427,0.36109597926766307,0.36720015622748453,0.2597666417346261,0.2485078264531776,0.4342104544086362,0.4054529985090326,0
/Users/sinner/Desktop/not_waste_images_all/661.jpg,10.025471264367818,0.9338122242041335,0.13195285481601116,225.22004597701152,0.0004601252477209671,0.02145053024335219,4.7116,4.758933333333333,4.762133333333334,2.0294670608588627,2.070732070227017,2.0873048821653035,0.3367195710124999,0.30829966188983193,0.2976120422442873,0.02201220504625745,-0.08820409102785076,-0.13615218368180315,0.04126171758386599,0.10150821480073415,0.09942318119942176,0.35774787054096574,0.6694055246318684,0.53278095444061,0.23242637724103232,0.12477280024695644,0.13772195629721226,0.17207014141356877,0.041182867403968086,0.11052591170848731,0.09805974644025914,0.3575118110852581,0.6450127475837704,0.5505147626487193,0.23396320887335384,0.1268877536230368,0.15204269425356867,0.18866205472898895,0.04215790505352266,0.11414028549065444,0.10236746626028241,0.35856643713075925,0.6488505227253607,0.5391951207510385,0.23455940790417398,0.13454650548996597,0.15674667889581032,0.19161664823529317,0
